Timestamp;gLeftWheelTicks;gRightWheelTicks;gTheta_hat;gX_hat;gY_hat
372578000;0;0;2.041126E+000;146;189
372602000;0;0;2.041126E+000;146;189
372625000;0;0;2.041125E+000;146;189
372649000;0;0;2.041125E+000;146;189
372673000;0;0;2.041131E+000;146;189
372697000;0;0;2.041121E+000;146;189
372723000;0;0;2.041121E+000;146;189
372746000;0;0;2.041125E+000;146;189
372770000;0;0;2.041125E+000;146;189
372793000;0;0;2.041128E+000;146;189
372817000;0;0;2.041135E+000;146;189
372843000;0;0;2.041135E+000;146;189
372868000;0;0;2.041127E+000;146;189
372892000;0;0;2.041127E+000;146;189
372914000;0;0;2.041120E+000;146;189
372937000;0;0;2.041121E+000;146;189
372963000;0;0;2.041121E+000;146;189
372988000;0;0;2.041125E+000;146;189
373011000;0;0;2.041125E+000;146;189
373034000;0;0;2.041123E+000;146;189
373057000;0;0;2.041127E+000;146;189
373082000;0;0;2.041127E+000;146;189
373109000;0;0;2.041130E+000;146;189
373132000;0;0;2.041130E+000;146;189
373156000;0;0;2.041131E+000;146;189
373180000;0;0;2.041132E+000;146;189
373206000;0;0;2.041132E+000;146;189
373232000;0;0;2.041122E+000;146;189
373255000;0;0;2.041122E+000;146;189
373279000;0;0;2.041110E+000;146;189
373302000;0;0;2.041108E+000;146;189
373326000;0;0;2.041108E+000;146;189
373352000;0;0;2.041096E+000;146;189
373375000;0;0;2.041096E+000;146;189
373399000;0;0;2.041091E+000;146;189
373423000;0;0;2.041095E+000;146;189
373446000;0;0;2.041095E+000;146;189
373471000;0;0;2.041101E+000;146;189
373493000;0;0;2.041101E+000;146;189
373517000;0;0;2.041107E+000;146;189
373541000;0;0;2.041111E+000;146;189
373567000;0;0;2.041111E+000;146;189
373595000;0;0;2.041122E+000;146;189
373618000;0;0;2.041122E+000;146;189
373642000;-2;2;2.041129E+000;146;189
373665000;-7;7;2.043762E+000;146;189
373692000;-7;7;2.043762E+000;146;189
373716000;-9;10;2.051460E+000;146;189
373739000;-9;10;2.051460E+000;146;189
373766000;-13;13;2.062452E+000;146;189
373791000;-14;16;2.078084E+000;146;189
373813000;-14;16;2.078084E+000;146;189
373837000;-16;19;2.090252E+000;146;189
373860000;-16;19;2.090252E+000;146;189
373885000;-17;20;2.106100E+000;146;189
373906000;-17;23;2.126092E+000;146;190
373932000;-19;23;2.126092E+000;146;190
373955000;-20;24;2.147235E+000;146;190
373979000;-20;24;2.147235E+000;146;190
374001000;-22;26;2.168990E+000;145;190
374025000;-22;26;2.191927E+000;145;191
374049000;-23;27;2.191927E+000;145;191
374075000;-24;28;2.213725E+000;145;191
374098000;-24;28;2.213725E+000;145;191
374123000;-25;29;2.237201E+000;145;191
374146000;-25;30;2.263238E+000;144;192
374170000;-25;30;2.263238E+000;144;192
374196000;-25;31;2.289090E+000;144;192
374219000;-25;31;2.289090E+000;144;192
374241000;-26;32;2.315836E+000;144;193
374265000;-26;32;2.341538E+000;143;193
374291000;-25;32;2.341538E+000;143;193
374316000;-27;33;2.364662E+000;143;194
374339000;-27;33;2.364662E+000;143;194
374362000;-28;33;2.391141E+000;142;194
374385000;-28;33;2.415485E+000;142;194
374409000;-27;33;2.415485E+000;142;194
374436000;-28;34;2.443222E+000;141;195
374459000;-28;34;2.443222E+000;141;195
374484000;-27;34;2.469521E+000;141;195
374507000;-27;34;2.496986E+000;140;196
374533000;-32;41;2.496986E+000;140;196
374558000;-21;26;2.523428E+000;139;196
374582000;-21;26;2.523428E+000;139;196
374605000;-27;34;2.548486E+000;139;196
374630000;-27;34;2.573448E+000;138;197
374655000;-28;34;2.573448E+000;138;197
374681000;-28;34;2.598095E+000;138;197
374704000;-28;34;2.598095E+000;138;197
374728000;-28;35;2.622902E+000;137;198
374751000;-28;33;2.646570E+000;136;198
374775000;-27;33;2.646570E+000;136;198
374801000;-27;34;2.668708E+000;136;198
374824000;-27;34;2.668708E+000;136;198
374846000;-26;34;2.690064E+000;135;199
374870000;-26;34;2.713950E+000;134;199
374894000;-27;34;2.713950E+000;134;199
374919000;-27;34;2.740957E+000;134;199
374944000;-27;34;2.740957E+000;134;199
374967000;-28;34;2.769871E+000;133;200
374991000;-28;34;2.795983E+000;132;200
375017000;-27;33;2.795983E+000;132;200
375042000;-27;34;2.823917E+000;132;200
375066000;-27;34;2.823917E+000;132;200
375088000;-26;33;2.846833E+000;131;200
375112000;-26;33;2.869148E+000;130;200
375137000;-24;34;2.869148E+000;130;200
375163000;-25;33;2.891233E+000;129;201
375186000;-25;33;2.891233E+000;129;201
375208000;-26;33;2.913761E+000;129;201
375232000;-26;33;2.936139E+000;128;201
375258000;-26;33;2.936139E+000;128;201
375283000;-25;32;2.959945E+000;127;201
375307000;-25;32;2.959945E+000;127;201
375331000;-25;33;2.987112E+000;126;201
375354000;-25;33;3.015099E+000;126;201
375378000;-23;32;3.015099E+000;126;201
375404000;-23;33;3.040529E+000;125;202
375428000;-23;33;3.040529E+000;125;202
375452000;-22;33;3.065257E+000;123;202
375477000;-22;32;3.090330E+000;122;202
375503000;-23;32;3.090330E+000;122;202
375526000;-23;39;3.116719E+000;121;202
375551000;-29;39;3.116719E+000;121;202
375575000;-19;26;-3.136976E+000;120;202
375598000;-24;32;-3.111892E+000;120;202
375625000;-24;32;-3.111892E+000;120;202
375648000;-23;33;-3.087836E+000;119;202
375670000;-23;33;-3.087836E+000;119;202
375694000;-24;31;-3.060685E+000;118;202
375717000;-24;32;-3.036874E+000;117;202
375744000;-22;32;-3.036874E+000;117;202
375769000;-22;32;-3.010043E+000;116;201
375792000;-22;32;-3.010043E+000;116;201
375815000;-23;32;-2.986413E+000;115;201
375838000;-23;31;-2.964641E+000;114;201
375863000;-22;31;-2.964641E+000;114;201
375890000;-23;31;-2.945203E+000;113;201
375914000;-23;31;-2.945203E+000;113;201
375936000;-23;32;-2.928338E+000;112;201
375960000;-23;31;-2.910013E+000;111;201
375984000;-23;31;-2.910013E+000;111;201
376011000;-21;30;-2.890037E+000;110;200
376034000;-21;30;-2.890037E+000;110;200
376056000;-21;31;-2.871850E+000;109;200
376080000;-21;31;-2.850878E+000;108;200
376104000;-20;30;-2.850878E+000;108;200
376130000;-20;30;-2.828164E+000;107;199
376155000;-20;30;-2.828164E+000;107;199
376178000;-19;30;-2.806654E+000;106;199
376201000;-19;30;-2.786518E+000;105;199
376225000;-19;30;-2.786518E+000;105;199
376251000;-21;29;-2.761908E+000;104;198
376275000;-21;29;-2.761908E+000;104;198
376297000;-20;30;-2.735775E+000;103;198
376321000;-20;30;-2.711346E+000;102;198
376346000;-22;29;-2.711346E+000;102;198
376372000;-21;29;-2.688674E+000;102;197
376395000;-21;29;-2.688674E+000;102;197
376420000;-21;29;-2.666701E+000;101;197
376443000;-21;29;-2.642975E+000;100;196
376471000;-19;29;-2.642975E+000;100;196
376495000;-19;29;-2.620921E+000;99;196
376518000;-19;29;-2.620921E+000;99;195
376542000;-23;34;-2.599001E+000;98;195
376565000;-23;22;-2.576410E+000;97;195
376591000;-14;22;-2.576410E+000;97;195
376615000;-19;28;-2.554511E+000;96;194
376639000;-19;28;-2.554511E+000;96;194
376662000;-19;28;-2.532953E+000;96;194
376685000;-19;28;-2.511927E+000;95;193
376710000;-20;28;-2.511927E+000;95;193
376736000;-20;27;-2.489565E+000;94;193
376760000;-20;27;-2.489565E+000;94;192
376783000;-20;28;-2.467314E+000;94;192
376806000;-20;27;-2.446502E+000;93;192
376833000;-19;27;-2.446502E+000;93;192
376857000;-18;27;-2.425168E+000;92;191
376880000;-18;27;-2.425168E+000;92;190
376903000;-14;28;-2.404845E+000;92;190
376926000;-14;29;-2.383229E+000;90;189
376954000;-11;29;-2.383229E+000;90;189
376978000;-9;29;-2.365825E+000;89;188
377001000;-9;29;-2.365825E+000;89;187
377027000;-7;30;-2.350563E+000;87;187
377055000;-6;30;-2.337075E+000;86;185
377079000;-6;30;-2.337075E+000;86;185
377102000;-3;30;-2.320161E+000;84;183
377126000;-3;30;-2.303067E+000;82;181
377151000;-2;30;-2.303067E+000;82;181
377179000;-1;32;-2.288188E+000;80;179
377203000;-1;32;-2.288188E+000;80;176
377228000;0;32;-2.274428E+000;78;176
377252000;0;32;-2.261574E+000;76;173
377277000;0;32;-2.261574E+000;76;173
377302000;0;33;-2.246439E+000;74;171
377325000;0;33;-2.246439E+000;71;168
377351000;0;35;-2.230948E+000;71;168
377377000;0;37;-2.215105E+000;69;165
377399000;0;37;-2.215105E+000;69;165
377422000;0;38;-2.201356E+000;67;162
377445000;0;38;-2.201356E+000;67;158
377468000;0;38;-2.186563E+000;64;158
377492000;0;39;-2.171199E+000;62;155
377518000;0;39;-2.171199E+000;62;155
377541000;0;48;-2.155543E+000;60;152
377566000;0;48;-2.155543E+000;60;147
377590000;0;31;-2.136755E+000;57;147
377613000;0;39;-2.118797E+000;55;145
377640000;0;39;-2.118797E+000;55;145
377664000;0;40;-2.101495E+000;53;141
377688000;0;40;-2.101495E+000;51;137
377712000;0;40;-2.086057E+000;51;137
377736000;0;41;-2.070912E+000;49;133
377761000;0;41;-2.070912E+000;49;133
377785000;0;40;-2.052997E+000;47;130
377809000;0;40;-2.052997E+000;45;126
377833000;0;40;-2.032819E+000;45;126
377857000;0;39;-2.013652E+000;43;122
377883000;0;39;-2.013652E+000;43;122
377905000;0;40;-1.994342E+000;41;118
377929000;0;40;-1.994342E+000;41;114
377954000;0;39;-1.978510E+000;39;114
377977000;0;39;-1.961373E+000;38;110
378002000;0;39;-1.961373E+000;38;110
378025000;0;38;-1.943224E+000;36;106
378049000;0;38;-1.943224E+000;36;103
378072000;0;39;-1.925964E+000;35;103
378095000;0;38;-1.908976E+000;33;99
378119000;0;38;-1.908976E+000;33;99
378146000;0;39;-1.887530E+000;32;95
378169000;0;39;-1.887530E+000;32;91
